,username,timestamp,text_content,media_urls,is_reply
0,davidasinclair,2021-07-14 19:56:56,Saying continuous glucose monitors are only for diabetics is like saying bathroom scales are only for the obese #wellness,,False
1,davidasinclair,2021-07-14 18:05:54,"Sinclair lab essential reading:
• Principles
• The Lively Art of Writing
• Unreliable Memoirs
• The 8th Day of Creation
• The Code Breaker",,False
2,davidasinclair,2021-07-14 14:51:50,RT @SatchinPanda: Yes there are genes for daytime napping.  Some of these daytime napping genes may also promote high blood pressure and be…,,False
3,davidasinclair,2021-07-14 13:13:06,"This and other lessons at my lab’s retreat on Cape Cod, today 🏖 May post other insights &amp; photos here + InstaG",,True
4,davidasinclair,2021-07-14 13:06:50,Why aren’t scientists taught to speak and write natural language before they default to the output of a long-winded… https://t.co/JxscQt3nRf,,False
5,davidasinclair,2021-07-14 02:48:32,"@Aragu_ ""I GREW UP ON THE EDGE OF THE BUSH.""",,True
6,davidasinclair,2021-07-14 02:45:23,@Aragu_ https://t.co/RwpwRafzeX,,True
7,davidasinclair,2021-07-14 02:38:39,"Kate Bush, Depeche Mode, Midnight Oil, My Friend the Chocolate Cake, Crowded House, Star Wars, Alanis Morissette, a… https://t.co/1GyXF0mi9n",,True
8,davidasinclair,2021-07-14 02:33:07,"Dude, I came to the USA with 6 pairs of underpants, 3 T-shirts, a pair of jeans &amp; 20 of my favorite CDs. That's it ! https://t.co/r38N3AwOLY",,False
9,davidasinclair,2021-07-14 01:48:45,"Try many things. Finding a passion ""is like being in love. No one can tell you you're in love. You just know it.""",,True
10,davidasinclair,2021-07-14 01:42:18,"When you find your true passion, work is what keeps you sane",,False
11,davidasinclair,2021-07-13 23:59:23,"@Thunderfang7 In our 2018 Cell paper, young mice benefited, too https://t.co/bocsGCxFUk",,True
12,davidasinclair,2021-07-13 22:27:57,You've taught me so much. Forever grateful. #Navy #SEALTeam  https://t.co/F9BPyik6Ae,,False
13,davidasinclair,2021-07-13 13:46:18,"15 years since our @nature paper, “data from [7] randomized controlled trials showed that RESVERATROL could stimula… https://t.co/pOui7j2p1q",,False
14,davidasinclair,2021-07-13 03:48:30,RT @schumacherbj: The manuscript was revised as requested by reviewer 3 https://t.co/PmoFpD3rvb,"[{'id': 1403013449442115592, 'id_str': '1403013449442115592', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1403013449442115592/pu/img/nBaKUxwvcXGWgP_7.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1403013449442115592/pu/img/nBaKUxwvcXGWgP_7.jpg', 'url': 'https://t.co/PmoFpD3rvb', 'display_url': 'pic.twitter.com/PmoFpD3rvb', 'expanded_url': 'https://twitter.com/RSF_Motorsport/status/1403013611493199881/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 540, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 960, 'h': 540, 'resize': 'fit'}}, 'source_status_id': 1403013611493199881, 'source_status_id_str': '1403013611493199881', 'source_user_id': 789891086030364672, 'source_user_id_str': '789891086030364672'}]",False
15,davidasinclair,2021-07-12 23:23:51,"Spermidine, a tiny molecule from wheat germ, protects the heart and extends the lifespan of mice, even when given m… https://t.co/jTwxIgxQd1",,False
16,davidasinclair,2021-07-12 23:06:46,@Justafa96496442 @StanfordMed Can't say for sure but hair dye isn't my secret. My standard day is on page 304 in Lifespan,,True
17,davidasinclair,2021-07-12 23:04:49,@tomkimmerer @StanfordMed DNA methylation clock is far easier and we're making it even easier: https://t.co/XB1qBgKmnT,,True
18,davidasinclair,2021-07-12 23:02:17,@mspanish @StanfordMed Good question!,,True
19,davidasinclair,2021-07-12 23:01:28,@karawaane @StanfordMed https://t.co/XB1qBgKmnT,,True
20,davidasinclair,2021-07-12 21:38:05,"Not making this up. ""One, a 105-year-old man, had an inflammatory age of 25,"" the author said",,True
21,davidasinclair,2021-07-12 21:35:50,A new immune system aging clock predicts future health way better than birthdays. A 105-year-old man in the study w… https://t.co/7TCZanQrzW,,False
